component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00066,Microsoft Azure — Microsoft (sheet row 66),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=Windows
comp_matriz_00067,Google Workspace — Google (sheet row 67),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00068,Cursor — Cursor,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00069,Microsoft Store — Microsoft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00070,Jupyter — Jupyter,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00071,Anaconda — Anaconda (sheet row 71),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Code
comp_matriz_00072,Discord — Amazon (sheet row 72),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Communication
comp_matriz_00073,Discord — Amazon (sheet row 73),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Communication
comp_matriz_00074,Microsoft Azure — Microsoft (sheet row 74),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DataOPS
comp_matriz_00075,PowerPlatform — Microsoft (sheet row 75),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DataOPS
